x,name,bio
http://vocab.getty.edu/ulan/500052055,"Mendieta, Ana","Cuban-American sculptor and performance artist, 1948-1985"
http://vocab.getty.edu/ulan/500053923,"Armleder, John","Swiss draftsman, performance artist, and painter, born 1948"
http://vocab.getty.edu/ulan/500053939,"Boyle, Mark","Scottish sculptor, performance artist, and painter, born 1934"
http://vocab.getty.edu/ulan/500054596,"Kantor, Istvan","Canadian performance artist, born 1949"
http://vocab.getty.edu/ulan/500054598,Krypton,"Italian performance artists, active 20th century"
http://vocab.getty.edu/ulan/500055847,Gilbert and George,"English sculptors, working together from 1967"
http://vocab.getty.edu/ulan/500055849,"Proesch, Gilbert","British sculptor, born 1943"
http://vocab.getty.edu/ulan/500055951,"Colo, Papo","American painter, sculptor, and conceptual artist, born 1946"
http://vocab.getty.edu/ulan/500056183,"Montano, Linda","American performance artist, born 1942"
http://vocab.getty.edu/ulan/500056236,"P-Orridge, Genesis Breyer","British performance artist and musician, born 1950"
http://vocab.getty.edu/ulan/500056718,"Ligorano, Nora","American bookmaker and video artist, contemporary "
http://vocab.getty.edu/ulan/500056719,"Reese, Marshall",Contemporary American video artist and installation artist
http://vocab.getty.edu/ulan/500056760,"Charlesworth, Bruce","American installation and performance artist, born 1950"
http://vocab.getty.edu/ulan/500057191,"Muehl, Otto","Austrian performance artist, painter and writer, born 1925"
http://vocab.getty.edu/ulan/500057224,"Stiles, Kristine","American author, professor, and artist, active late 20th century"
http://vocab.getty.edu/ulan/500057851,"Finn-Kelcey, Rose","English installation and performance artist, 1945-2014"
http://vocab.getty.edu/ulan/500058309,"Jonas, Joan","American performance artist and filmmaker, born 1936"
http://vocab.getty.edu/ulan/500058454,"Bogosian, Eric","American performance artist, born 1953"
http://vocab.getty.edu/ulan/500059231,"Fisherman, Hercules","British painter, sculptor, and performance artist, active 20th century"
http://vocab.getty.edu/ulan/500059481,"Galás, Diamánda","American vocalist and performer, born 1955"
http://vocab.getty.edu/ulan/500059608,"Leister, David","American filmmaker and performance artist, contemporary, active in London"
http://vocab.getty.edu/ulan/500059876,"Gilardi, Piero","Italian sculptor, painter, and installation artist, born 1942"
http://vocab.getty.edu/ulan/500060374,"Tourbin, Dennis","Canadian painter, performance artist, and video artist, born 1946"
http://vocab.getty.edu/ulan/500060761,Colette,"American sculptor and painter, born 1947 in Tunisia"
